alpha,class_weight,eta0,l1_ratio,learning_rate,penalty,mean_best_f1
0.01,,0.001,0.5,optimal,l2,0.36754046005466146
0.01,,0.001,0.5,optimal,elasticnet,0.35977818252155264
0.01,,0.001,0.5,invscaling,l2,0.5339250947823593
0.01,,0.001,0.5,invscaling,elasticnet,0.35977818252155264
0.01,,0.001,0.5,adaptive,l2,0.4497947064496793
0.01,,0.001,0.5,adaptive,elasticnet,0.35977818252155264
0.01,,0.01,0.15,constant,l2,0.3638306126324077
0.01,,0.01,0.15,constant,elasticnet,0.36053384280340434
0.01,,0.01,0.15,optimal,l2,0.36754046005466146
0.01,,0.01,0.15,optimal,elasticnet,0.3610781303719251
0.01,,0.01,0.15,invscaling,l2,0.5291957561774316
0.01,,0.01,0.15,invscaling,elasticnet,0.44851885987252915
0.01,,0.01,0.15,adaptive,l2,0.3638306126324077
0.01,,0.01,0.15,adaptive,elasticnet,0.36053384280340434
0.01,,0.01,0.5,constant,l2,0.3638306126324077
0.01,,0.01,0.5,constant,elasticnet,0.35977818252155264
0.01,,0.01,0.5,optimal,l2,0.36754046005466146
0.01,,0.01,0.5,optimal,elasticnet,0.35977818252155264
0.01,,0.01,0.5,invscaling,l2,0.5291957561774316
0.01,,0.01,0.5,invscaling,elasticnet,0.35977818252155264
0.01,,0.01,0.5,adaptive,l2,0.3638306126324077
0.01,,0.01,0.5,adaptive,elasticnet,0.35977818252155264
0.01,,0.1,0.15,constant,l2,0.3649908202598022
0.01,,0.1,0.15,constant,elasticnet,0.36149548638862583
0.01,,0.1,0.15,optimal,l2,0.36754046005466146
0.01,,0.1,0.15,optimal,elasticnet,0.3610781303719251
0.01,,0.1,0.15,invscaling,l2,0.4895179860728285
0.01,,0.1,0.15,invscaling,elasticnet,0.4210692110705213
0.01,,0.1,0.15,adaptive,l2,0.3649908202598022
0.01,,0.1,0.15,adaptive,elasticnet,0.36149548638862583
0.01,,0.1,0.5,constant,l2,0.3649908202598022
0.01,,0.1,0.5,constant,elasticnet,0.35977818252155264
0.01,,0.1,0.5,optimal,l2,0.36754046005466146
0.01,,0.1,0.5,optimal,elasticnet,0.35977818252155264
0.01,,0.1,0.5,invscaling,l2,0.4895179860728285
0.01,,0.1,0.5,invscaling,elasticnet,0.35977818252155264
0.01,,0.1,0.5,adaptive,l2,0.3649908202598022
0.01,,0.1,0.5,adaptive,elasticnet,0.35977818252155264
0.01,balanced,0.001,0.15,constant,l2,0.7517202841317424
0.01,balanced,0.001,0.15,constant,elasticnet,0.7850390551636466
0.01,balanced,0.001,0.15,optimal,l2,0.7333846400355318
0.01,balanced,0.001,0.15,optimal,elasticnet,0.7276973200003989
0.01,balanced,0.001,0.15,invscaling,l2,0.7381286647574453
0.01,balanced,0.001,0.15,invscaling,elasticnet,0.7677122809668321
0.01,balanced,0.001,0.15,adaptive,l2,0.7517202841317424
0.01,balanced,0.001,0.15,adaptive,elasticnet,0.7850390551636466
0.01,balanced,0.001,0.5,constant,l2,0.7517202841317424
0.01,balanced,0.001,0.5,constant,elasticnet,0.8055635926017628
0.01,balanced,0.001,0.5,optimal,l2,0.7333846400355318
0.01,balanced,0.001,0.5,optimal,elasticnet,0.5832517524549699
0.01,balanced,0.001,0.5,invscaling,l2,0.7381286647574453
0.01,balanced,0.001,0.5,invscaling,elasticnet,0.7537268553213062
0.01,balanced,0.001,0.5,adaptive,l2,0.7517202841317424
0.01,balanced,0.001,0.5,adaptive,elasticnet,0.8055635926017628
0.01,balanced,0.01,0.15,constant,l2,0.7412774887456238
0.01,balanced,0.01,0.15,constant,elasticnet,0.7419500004176701
0.01,balanced,0.01,0.15,optimal,l2,0.7333846400355318
0.01,balanced,0.01,0.15,optimal,elasticnet,0.7276973200003989
0.01,balanced,0.01,0.15,invscaling,l2,0.7405531055832958
0.01,balanced,0.01,0.15,invscaling,elasticnet,0.7702391541012281
0.01,balanced,0.01,0.15,adaptive,l2,0.7412774887456238
0.01,balanced,0.01,0.15,adaptive,elasticnet,0.7419500004176701
0.01,balanced,0.01,0.5,constant,l2,0.7412774887456238
0.01,balanced,0.01,0.5,constant,elasticnet,0.7232384228710331
0.01,balanced,0.01,0.5,optimal,l2,0.7333846400355318
0.01,balanced,0.01,0.5,optimal,elasticnet,0.5832517524549699
0.01,balanced,0.01,0.5,invscaling,l2,0.7405531055832958
0.01,balanced,0.01,0.5,invscaling,elasticnet,0.7542506453532961
0.01,balanced,0.01,0.5,adaptive,l2,0.7412774887456238
0.01,balanced,0.01,0.5,adaptive,elasticnet,0.7232384228710331
0.01,balanced,0.1,0.15,constant,l2,0.7138731766446434
0.01,balanced,0.1,0.15,constant,elasticnet,0.7200900876199493
0.01,balanced,0.1,0.15,optimal,l2,0.7333846400355318
0.01,balanced,0.1,0.15,optimal,elasticnet,0.7276973200003989
0.01,balanced,0.1,0.15,invscaling,l2,0.7482968699240073
0.01,balanced,0.1,0.15,invscaling,elasticnet,0.7807974919427837
0.01,balanced,0.1,0.15,adaptive,l2,0.7138731766446434
0.01,balanced,0.1,0.15,adaptive,elasticnet,0.7200900876199493
0.01,balanced,0.1,0.5,constant,l2,0.7138731766446434
0.01,balanced,0.1,0.5,constant,elasticnet,0.7004647461553579
0.01,balanced,0.1,0.5,optimal,l2,0.7333846400355318
0.01,balanced,0.1,0.5,optimal,elasticnet,0.5832517524549699
0.01,balanced,0.1,0.5,invscaling,l2,0.7482968699240073
0.01,balanced,0.1,0.5,invscaling,elasticnet,0.779913609855901
0.01,balanced,0.1,0.5,adaptive,l2,0.7138731766446434
0.01,balanced,0.1,0.5,adaptive,elasticnet,0.7004647461553579
